,X,Y,ID,SER,PERMIT,CR,DR,LOCATION,DATE,CD,TG,GD,MODEL,THEME,CITY,LAT,LON,TOOLTIP
40,0.0,0.0,1041,IG009,,SE,EB,Jefferson FS Crenshaw * box,1996-02-29T00:00:00.000Z,10,633.0,E7,DOME,LANI,LA LANI,,,Type: LANI\nLocation:  Jefferson FS Crenshaw * box\nCouncil District:  10\nDate:  2/29/1996\nSerial: IG009\nPermit:  
41,-118.33420000018512,34.02549999985627,1042,CD043,,NW,WB,JEFFERSON FS CRENSHAW,1982-11-04T00:00:00.000Z,10,633.0,E7,A,AD SHELTERS,LOS ANGELES,34.0255,-118.3342,Type: AD SHELTERS\nLocation:  JEFFERSON FS CRENSHAW\nCouncil District:  10\nDate:  11/4/1982\nSerial: CD043\nPermit:  
42,-118.34500000018,34.05700000012794,1043,CD719,,SE,NB,LA BREA NS OLYMPIC,1990-12-07T00:00:00.000Z,10,633.0,D3,A,AD SHELTERS,LOS ANGELES,34.056999999999995,-118.345,Type: AD SHELTERS\nLocation:  LA BREA NS OLYMPIC\nCouncil District:  10\nDate:  12/7/1990\nSerial: CD719\nPermit:  
43,-118.34450000013867,34.04560000014271,1044,CD247,,SE,NB,LA BREA NS VENICE,1983-04-13T00:00:00.000Z,10,633.0,D4,B,AD SHELTERS,LOS ANGELES,34.0456,-118.3445,Type: AD SHELTERS\nLocation:  LA BREA NS VENICE\nCouncil District:  10\nDate:  4/13/1983\nSerial: CD247\nPermit:  
44,-118.34639999984662,34.04029999995605,1045,CD783,,NW,SB,LA BREA NS WASHINGTON,1992-12-18T00:00:00.000Z,10,633.0,D5,A,AD SHELTERS,LOS ANGELES,34.0403,-118.3464,Type: AD SHELTERS\nLocation:  LA BREA NS WASHINGTON\nCouncil District:  10\nDate:  12/18/1992\nSerial: CD783\nPermit:  
45,-118.34639999984662,34.04029999995605,1046,CD1105,,SE,NB,LA BREA NS WASHINGTON,2000-07-20T00:00:00.000Z,10,633.0,D5,A,AD SHELTERS,LOS ANGELES,34.0403,-118.3464,Type: AD SHELTERS\nLocation:  LA BREA NS WASHINGTON\nCouncil District:  10\nDate:  7/20/2000\nSerial: CD1105\nPermit:  
46,-118.3545000000674,34.02119999984261,1047,CD537,,NE,NB,LA BREA FS RODEO ROAD,1988-09-23T00:00:00.000Z,10,673.0,C1,A,AD SHELTERS,LOS ANGELES,34.0212,-118.3545,Type: AD SHELTERS\nLocation:  LA BREA FS RODEO ROAD\nCouncil District:  10\nDate:  9/23/1988\nSerial: CD537\nPermit:  
47,-118.35440000005914,34.018300000051816,1048,CD317,,NE,NB,LA BREA FS COLISEUM,1984-03-13T00:00:00.000Z,10,673.0,C2,A,AD SHELTERS,LOS ANGELES,34.0183,-118.3544,Type: AD SHELTERS\nLocation:  LA BREA FS COLISEUM\nCouncil District:  10\nDate:  3/13/1984\nSerial: CD317\nPermit:  
48,-118.37529999999106,34.05330000012753,1049,WL200,,SE,NB,LA CIENEGA NS PICO,1988-07-12T00:00:00.000Z,10,632.0,J4,A,AD SHELTERS,LOS ANGELES,34.0533,-118.3753,Type: AD SHELTERS\nLocation:  LA CIENEGA NS PICO\nCouncil District:  10\nDate:  7/12/1988\nSerial: WL200\nPermit:  
49,-118.29960000001844,34.06189999984016,1050,CD437,,SE,NB,NORMANDIE NS WILSHIRE,1984-05-10T00:00:00.000Z,10,633.0,J3,A,AD SHELTERS,LOS ANGELES,34.0619,-118.2996,Type: AD SHELTERS\nLocation:  NORMANDIE NS WILSHIRE\nCouncil District:  10\nDate:  5/10/1984\nSerial: CD437\nPermit:  
50,-118.32300000015712,34.05499999993661,1051,CD010,,SW,EB,OLYMPIC NS CRENSHAW,1982-04-21T00:00:00.000Z,10,633.0,F3,A,AD SHELTERS,LOS ANGELES,34.055,-118.323,Type: AD SHELTERS\nLocation:  OLYMPIC NS CRENSHAW\nCouncil District:  10\nDate:  4/21/1982\nSerial: CD010\nPermit:  
51,-118.3221000000827,34.05479999988977,1052,CD009,,NE,WB,OLYMPIC NS CRENSHAW,1982-05-13T00:00:00.000Z,10,633.0,F3,A,AD SHELTERS,LOS ANGELES,34.0548,-118.3221,Type: AD SHELTERS\nLocation:  OLYMPIC NS CRENSHAW\nCouncil District:  10\nDate:  5/13/1982\nSerial: CD009\nPermit:  
52,-118.35269999991851,34.05719999982157,1053,CD011,,SW,EB,OLYMPIC NS HAUSER,1982-05-23T00:00:00.000Z,10,633.0,C3,A,AD SHELTERS,LOS ANGELES,34.0572,-118.3527,Type: AD SHELTERS\nLocation:  OLYMPIC NS HAUSER\nCouncil District:  10\nDate:  5/23/1982\nSerial: CD011\nPermit:  
53,-118.29909999997709,34.05299999981828,1054,CD720,,SW,EB,OLYMPIC NS NORMANDIE,1990-05-24T00:00:00.000Z,10,633.0,J4,A,AD SHELTERS,LOS ANGELES,34.053000000000004,-118.2991,Type: AD SHELTERS\nLocation:  OLYMPIC NS NORMANDIE\nCouncil District:  10\nDate:  5/24/1990\nSerial: CD720\nPermit:  
54,-118.29909999997709,34.05299999981828,1055,CD721,,NE,WB,OLYMPIC NS NORMANDIE,1990-12-07T00:00:00.000Z,10,633.0,J4,A,AD SHELTERS,LOS ANGELES,34.053000000000004,-118.2991,Type: AD SHELTERS\nLocation:  OLYMPIC NS NORMANDIE\nCouncil District:  10\nDate:  12/7/1990\nSerial: CD721\nPermit:  
55,-118.31030000000507,34.05290000009953,1056,CD357,,SW,EB,OLYMPIC NS SAINT ANDREWS PL.,1992-10-21T00:00:00.000Z,10,633.0,G4,A,AD SHELTERS,LOS ANGELES,34.0529,-118.3103,Type: AD SHELTERS\nLocation:  OLYMPIC NS SAINT ANDREWS PL.\nCouncil District:  10\nDate:  10/21/1992\nSerial: CD357\nPermit:  
56,-118.3589999999904,34.057400000159674,1057,CD549,,NE,WB,OLYMPIC NS SPAULDING,1990-05-24T00:00:00.000Z,10,633.0,B3,A,AD SHELTERS,LOS ANGELES,34.0574,-118.359,Type: AD SHELTERS\nLocation:  OLYMPIC NS SPAULDING\nCouncil District:  10\nDate:  5/24/1990\nSerial: CD549\nPermit:  
57,-118.29070000018066,34.052500000044866,1058,CD272,,SW,EB,OLYMPIC NS VERMONT,1983-12-05T00:00:00.000Z,10,634.0,A4,B,AD SHELTERS,LOS ANGELES,34.0525,-118.2907,Type: AD SHELTERS\nLocation:  OLYMPIC NS VERMONT\nCouncil District:  10\nDate:  12/5/1983\nSerial: CD272\nPermit:  
58,-118.29070000018066,34.052500000044866,1059,CD1064,,NE,WB,OLYMPIC NS VERMONT,2000-05-17T00:00:00.000Z,10,634.0,A4,A,AD SHELTERS,LOS ANGELES,34.0525,-118.2907,Type: AD SHELTERS\nLocation:  OLYMPIC NS VERMONT\nCouncil District:  10\nDate:  5/17/2000\nSerial: CD1064\nPermit:  
59,-118.30829999983965,34.05290000009953,1060,CD358,,SW,EB,OLYMPIC NS WESTERN,1984-04-10T00:00:00.000Z,10,633.0,J4,A,AD SHELTERS,LOS ANGELES,34.0529,-118.3083,Type: AD SHELTERS\nLocation:  OLYMPIC NS WESTERN\nCouncil District:  10\nDate:  4/10/1984\nSerial: CD358\nPermit:  
60,-118.37529999999106,34.05330000012753,1061,WL207,,SE,EB,PICO FS LA CIENEGA,1990-10-12T00:00:00.000Z,10,633.0,A4,A,AD SHELTERS,LOS ANGELES,34.0533,-118.3753,Type: AD SHELTERS\nLocation:  PICO FS LA CIENEGA\nCouncil District:  10\nDate:  10/12/1990\nSerial: WL207\nPermit:  
61,-118.36249999983075,34.050799999969705,1062,CD736,,NE,WB,PICO NS GENESEE,1990-10-12T00:00:00.000Z,10,633.0,B4,A,AD SHELTERS,LOS ANGELES,34.0508,-118.3625,Type: AD SHELTERS\nLocation:  PICO NS GENESEE\nCouncil District:  10\nDate:  10/12/1990\nSerial: CD736\nPermit:  
62,-118.35590000018318,34.04859999997197,1063,CD249,,SW,EB,PICO NS HAUSER,1983-04-11T00:00:00.000Z,10,633.0,C4,A,AD SHELTERS,LOS ANGELES,34.0486,-118.3559,Type: AD SHELTERS\nLocation:  PICO NS HAUSER\nCouncil District:  10\nDate:  4/11/1983\nSerial: CD249\nPermit:  
63,-118.35169999983583,34.04809999992812,1064,CD732,,SW,EB,PICO NS COCHRAN,1992-10-21T00:00:00.000Z,10,633.0,C4,A,AD SHELTERS,LOS ANGELES,34.0481,-118.3517,Type: AD SHELTERS\nLocation:  PICO NS COCHRAN\nCouncil District:  10\nDate:  10/21/1992\nSerial: CD732\nPermit:  
64,-118.35390000001776,34.04830000015059,1065,CD733,,NE,WB,PICO FS BURNSIDE,1992-10-21T00:00:00.000Z,10,633.0,C4,A,AD SHELTERS,LOS ANGELES,34.0483,-118.3539,Type: AD SHELTERS\nLocation:  PICO FS BURNSIDE\nCouncil District:  10\nDate:  10/21/1992\nSerial: CD733\nPermit:  
65,-118.34380000008076,34.0476999999287,1066,CD045,,NE,WB,PICO NS LA BREA,1982-05-17T00:00:00.000Z,10,633.0,D4,A,AD SHELTERS,LOS ANGELES,34.0477,-118.3438,Type: AD SHELTERS\nLocation:  PICO NS LA BREA\nCouncil District:  10\nDate:  5/17/1982\nSerial: CD045\nPermit:  
66,-118.34380000008076,34.0476999999287,1067,CD731,,SE,EB,PICO FS LA BREA,1990-07-05T00:00:00.000Z,10,633.0,D4,A,AD SHELTERS,LOS ANGELES,34.0477,-118.3438,Type: AD SHELTERS\nLocation:  PICO FS LA BREA\nCouncil District:  10\nDate:  7/5/1990\nSerial: CD731\nPermit:  
67,-118.33489999979385,34.04869999992465,1068,CD729,,NE,WB,PICO NS MULLEN,1990-10-12T00:00:00.000Z,10,633.0,D4,A,AD SHELTERS,LOS ANGELES,34.0487,-118.3349,Type: AD SHELTERS\nLocation:  PICO NS MULLEN\nCouncil District:  10\nDate:  10/12/1990\nSerial: CD729\nPermit:  
68,-118.33860000009985,34.04859999997197,1069,CD730,,SW,EB,PICO NS SAN VICENTE BL.,1990-06-22T00:00:00.000Z,10,633.0,E4,A,AD SHELTERS,LOS ANGELES,34.0486,-118.3386,Type: AD SHELTERS\nLocation:  PICO NS SAN VICENTE BL.\nCouncil District:  10\nDate:  6/22/1990\nSerial: CD730\nPermit:  
69,-118.32579999993956,34.04800000001214,1070,CD035,,SW,EB,PICO NS CRENSHAW,1982-05-14T00:00:00.000Z,10,633.0,F4,A,AD SHELTERS,LOS ANGELES,34.048,-118.3258,Type: AD SHELTERS\nLocation:  PICO NS CRENSHAW\nCouncil District:  10\nDate:  5/14/1982\nSerial: CD035\nPermit:  
70,-118.32579999993956,34.04800000001214,1071,CD036,,NW,WB,PICO FS CRENSHAW,1982-04-29T00:00:00.000Z,10,633.0,F4,A,AD SHELTERS,LOS ANGELES,34.048,-118.3258,Type: AD SHELTERS\nLocation:  PICO FS CRENSHAW\nCouncil District:  10\nDate:  4/29/1982\nSerial: CD036\nPermit:  
71,-118.33220000001972,34.051699999855764,1072,CD728,,SW,EB,PICO NS WINDSOR,1992-10-21T00:00:00.000Z,10,633.0,F4,A,AD SHELTERS,LOS ANGELES,34.0517,-118.3322,Type: AD SHELTERS\nLocation:  PICO NS WINDSOR\nCouncil District:  10\nDate:  10/21/1992\nSerial: CD728\nPermit:  
72,-118.31590000001907,34.047299999903025,1073,CD250,,NE,WB,PICO NS ARLINGTON,1983-04-12T00:00:00.000Z,10,633.0,G4,A,AD SHELTERS,LOS ANGELES,34.0473,-118.3159,Type: AD SHELTERS\nLocation:  PICO NS ARLINGTON\nCouncil District:  10\nDate:  4/12/1983\nSerial: CD250\nPermit:  
73,-118.30819999983142,34.04739999990027,1074,CD044,,SW,EB,PICO NS WESTERN,1982-05-14T00:00:00.000Z,10,633.0,J4,A,AD SHELTERS,LOS ANGELES,34.0474,-118.3082,Type: AD SHELTERS\nLocation:  PICO NS WESTERN\nCouncil District:  10\nDate:  5/14/1982\nSerial: CD044\nPermit:  
74,-118.30819999983142,34.04739999990027,1075,CD576,,NE,WB,PICO NS WESTERN,1988-12-01T00:00:00.000Z,10,633.0,J4,A,AD SHELTERS,LOS ANGELES,34.0474,-118.3082,Type: AD SHELTERS\nLocation:  PICO NS WESTERN\nCouncil District:  10\nDate:  12/1/1988\nSerial: CD576\nPermit:  
75,-118.3545000000674,34.02119999984261,1076,CD051,,NW,WB,RODEO RD. FS LA BREA,1982-10-26T00:00:00.000Z,10,673.0,B1,B,AD SHELTERS,LOS ANGELES,34.0212,-118.3545,Type: AD SHELTERS\nLocation:  RODEO RD. FS LA BREA\nCouncil District:  10\nDate:  10/26/1982\nSerial: CD051\nPermit:  
76,-118.37100000008458,34.02160000009975,1077,CD048,,NE,WB,RODEO RD. NS LA CIENEGA,1982-11-05T00:00:00.000Z,10,673.0,A1,A,AD SHELTERS,LOS ANGELES,34.0216,-118.37100000000001,Type: AD SHELTERS\nLocation:  RODEO RD. NS LA CIENEGA\nCouncil District:  10\nDate:  11/5/1982\nSerial: CD048\nPermit:  
77,-118.40129999989558,34.02130000008358,1078,WL111,,SE,EB,VENICE FS JASMINE,1984-08-02T00:00:00.000Z,10,672.0,G1,B,AD SHELTERS,LOS ANGELES,34.0213,-118.4013,Type: AD SHELTERS\nLocation:  VENICE FS JASMINE\nCouncil District:  10\nDate:  8/2/1984\nSerial: WL111\nPermit:  
78,-118.3444000001304,34.04579999993508,1079,CD246,,SE,EB,VENICE FS LA BREA,1983-05-05T00:00:00.000Z,10,633.0,D4,A,AD SHELTERS,LOS ANGELES,34.0458,-118.3444,Type: AD SHELTERS\nLocation:  VENICE FS LA BREA\nCouncil District:  10\nDate:  5/5/1983\nSerial: CD246\nPermit:  
79,-118.38810000015137,34.028999999836955,1080,WL112,,NW,WB,VENICE FS NATIONAL,1986-10-09T00:00:00.000Z,10,632.0,J7,A,AD SHELTERS,LOS ANGELES,34.029,-118.3881,Type: AD SHELTERS\nLocation:  VENICE FS NATIONAL\nCouncil District:  10\nDate:  10/9/1986\nSerial: WL112\nPermit:  
80,-118.30759999978179,34.04419999992611,1081,CD1071,,NW,WB,VENICE FS WESTERN,2000-07-27T00:00:00.000Z,10,633.0,H5,A,AD SHELTERS,LOS ANGELES,34.0442,-118.3076,Type: AD SHELTERS\nLocation:  VENICE FS WESTERN\nCouncil District:  10\nDate:  7/27/2000\nSerial: CD1071\nPermit:  
81,-118.41950000005336,34.29780000016364,1082,EV474,,SW,SB,FOOTHILL FS MACLAY,2001-12-21T00:00:00.000Z,7,482.0,D5,D2MG,AD SHELTERS,LOS ANGELES,34.2978,-118.4195,Type: AD SHELTERS\nLocation:  FOOTHILL FS MACLAY\nCouncil District:  7\nDate:  12/21/2001\nSerial: EV474\nPermit:  
